Geometry,State,Energy (eV),Wavelength (nm),Oscillator Strength
S0,0->1,3.1400,394.86,0.5707
S0,0->2,4.1937,295.64,0.2025
S0,0->3,4.4426,279.08,0.2023
S0,0->4,4.4564,278.21,0.5971
S0,0->5,4.5370,273.27,0.0094
S0,0->6,4.6629,265.89,0.0510
S0,0->7,4.8141,257.54,0.0104
S0,0->8,4.8770,254.22,0.0105
S0,0->9,4.9879,248.57,0.0014
S0,0->10,5.1266,241.84,0.0904
T1,1->2,1.8003,688.68,0.0964
T1,1->3,1.9904,622.90,0.0020
T1,1->4,2.0279,611.40,0.3242
T1,1->5,2.5595,484.40,0.0280
T1,1->6,2.7429,452.01,0.0208
T1,1->7,2.8098,441.25,0.0573
T1,1->8,2.9189,424.76,0.3832
T1,1->9,3.0510,406.37,0.0093
T1,1->10,3.1022,399.66,0.4846
T1,1->11,3.2960,376.17,0.0007
S1,0->1,2.4617,503.66,0.5335
S1,0->2,3.7801,327.99,0.2444
S1,0->3,3.9907,310.68,0.8066
S1,0->4,4.1983,295.32,0.0630
S1,0->5,4.2364,292.66,0.0371
S1,0->6,4.3665,283.94,0.0566
S1,0->7,4.4725,277.21,0.0118
S1,0->8,4.6187,268.44,0.0082
S1,0->9,4.6800,264.92,0.0065
S1,0->10,4.8227,257.08,0.0215
S1,0->11,4.9266,251.66,0.0155
S1,0->12,5.0172,247.12,0.0001
S1,0->13,5.0706,244.52,0.0061
S1,0->14,5.2969,234.07,0.0029
S1,0->15,5.3209,233.01,0.0828
S1,0->16,5.4088,229.23,0.0004
S1,0->17,5.4279,228.42,0.0041
S1,0->18,5.4733,226.53,0.0778
S1,0->19,5.6410,219.79,0.0103
S1,0->20,5.7639,215.11,0.0169
S1,0->21,5.8433,212.18,0.0388
S1,0->22,6.0456,205.08,0.0589
S1,0->23,6.0541,204.79,0.1810
S1,0->24,6.0784,203.97,0.0004
S1,0->25,6.0939,203.45,0.0193
S1,0->26,6.1887,200.34,0.0135
S1,0->27,6.2317,198.96,0.1616
S1,0->28,6.2590,198.09,0.1819
S1,0->29,6.3054,196.63,0.0490
S1,0->30,6.3173,196.26,0.0033
S1,0->31,6.3467,195.35,0.0403
S1,0->32,6.4469,192.32,0.2439
S1,0->33,6.4601,191.92,0.7315
S1,0->34,6.5177,190.23,0.0116
S1,0->35,6.5696,188.72,0.0496
S1,0->36,6.6258,187.12,0.2271
S1,0->37,6.6449,186.58,0.0233
S1,0->38,6.6574,186.23,0.0680
S1,0->39,6.7094,184.79,0.0702
S1,0->40,6.7614,183.37,0.0084
E0,0->1,1.6109,769.64,0.1000
E0,0->2,2.1638,573.00,0.0626
E0,0->3,2.4014,516.31,0.6380
E0,0->4,2.6363,470.30,0.0247
E0,0->5,2.7775,446.39,0.0146
E0,0->6,2.9089,426.22,0.0143
E0,0->7,3.0443,407.27,0.0000
E0,0->8,3.1017,399.72,0.0009
E0,0->9,3.2845,377.49,0.0010
E0,0->10,3.3469,370.44,0.0211
H0,0->1,1.1259,1101.23,0.6901
H0,0->2,1.9179,646.47,0.0110
H0,0->3,2.0807,595.89,0.0072
H0,0->4,2.1509,576.42,0.1001
H0,0->5,2.1920,565.62,0.3468
H0,0->6,2.2246,557.34,0.0071
H0,0->7,2.3351,530.97,0.0242
H0,0->8,2.4435,507.41,0.0431
H0,0->9,2.9344,422.53,0.1481
H0,0->10,3.0030,412.86,0.0017
S1,1->2,1.31840,940.382281553398,0.71931
S1,1->3,1.52900,810.8567691301505,0.72473
S1,1->4,1.73660,713.9237590694461,0.13973
S1,1->5,1.77470,698.5969459626979,0.00541
S1,1->6,1.90480,650.8819823603527,0.00034
S1,1->7,2.01080,616.5705191963397,0.00204
S1,1->8,2.15700,574.7797867408437,0.02841
S1,1->9,2.21830,558.8964522382004,0.11845
S1,1->10,2.36100,525.116476069462,0.22139
S1,1->11,2.46490,502.9818653900766,0.02211
S1,1->12,2.55550,485.14967716689495,0.00352
S1,1->13,2.60890,475.21944114377703,0.00458
S1,1->14,2.83520,437.28837471783294,0.00217
S1,1->15,2.85920,433.617795187465,0.13248
S1,1->16,2.94710,420.68474093176343,0.00161
S1,1->17,2.96620,417.97586137145163,0.00020
S1,1->18,3.01160,411.67485721875414,0.00044
S1,1->19,3.17930,389.9600540999591,0.00487
S1,1->20,3.30220,375.44667191569255,0.01373
S1,1->21,3.38160,366.6311805062692,0.02125
S1,1->22,3.58390,345.9359915176205,0.00138
S1,1->23,3.59240,345.1174702148981,0.00831
S1,1->24,3.61670,342.79868388309785,0.00000
S1,1->25,3.63220,341.3358295248059,0.00728
S1,1->26,3.72700,332.65360880064395,0.00033
S1,1->27,3.77000,328.8594164456233,0.01221
S1,1->28,3.79730,326.49514128459697,0.00866
S1,1->29,3.84370,322.5537893175846,0.00567
S1,1->30,3.85560,321.5582529308019,0.00838
S1,1->31,3.88500,319.1248391248391,0.01090
S1,1->32,3.98520,311.1010739737027,0.00363
S1,1->33,3.99840,310.0740296118447,0.00058
S1,1->34,4.05600,305.6706114398422,0.00000
S1,1->35,4.10790,301.8087100464958,0.00107
S1,1->36,4.16410,297.7354050094858,0.00260
S1,1->37,4.18320,296.37598011091984,0.00237
S1,1->38,4.19570,295.4930047429511,0.00025
S1,1->39,4.24770,291.8756032676507,0.00082
S1,1->40,4.29970,288.34569853710724,0.00019
