 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.059559   -0.234055    0.171661 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     3.8355947    -0.3668125    -0.1074335     2.46170     0.89609
     0     2    -1.6056609    -0.6930203    -0.0321345     3.78010     0.28334
     0     3     3.3592880    -0.1040080    -0.1171835     3.99070     1.10572
     0     4     0.0586708     1.7538020     0.4224950     4.19830     0.33508
     0     5    -0.1709418    -1.3833472    -0.2873031     4.23640     0.21022
     0     6     0.2133486     1.0974406     0.1557091     4.36650     0.13630
     0     7    -0.0887324    -0.8594086    -0.0658560     4.47250     0.08227
     0     8    -0.0961961    -0.0579315    -0.1271783     4.61870     0.00326
     0     9     0.1905955    -0.6345910     0.0989423     4.68000     0.05146
     0    10     0.2826037    -0.4246365     0.0984789     4.82270     0.03189
     0    11    -0.1663409    -0.3497880    -0.1424594     4.92660     0.02056
     0    12     0.0139175    -0.0016593    -0.0685772     5.01720     0.00060
     0    13    -0.1908865    -0.2819648     0.2649509     5.07060     0.02312
     0    14    -0.0700349    -0.2988397     0.0358346     5.29690     0.01239
     0    15    -1.0262974    -1.1468813    -0.2297576     5.32090     0.31565
     0    16     0.0293890     0.0066282    -0.0370277     5.40880     0.00030
     0    17    -0.1368806     0.2226728     0.1125968     5.42790     0.01077
     0    18    -0.4165780     1.1415112     0.2012361     5.47330     0.20343
     0    19     0.0626223    -0.1140652    -0.0726591     5.64100     0.00307
     0    20     0.4474426    -0.6458017     0.0092481     5.76390     0.08718
     0    21     0.5075892     0.9148503    -0.0435678     5.84330     0.15697
     0    22    -0.6051191    -0.7735613     0.0768475     6.04560     0.14374
     0    23     0.1945211    -1.7637285     0.1411150     6.05410     0.46996
     0    24    -0.1940122     0.0361621     0.0060162     6.07840     0.00581
     0    25    -0.1447525     0.0166330    -0.0274106     6.09390     0.00328
     0    26     0.0396655     0.2597302     0.0470748     6.18870     0.01080
     0    27    -0.2173369     1.9973036    -0.1666024     6.23170     0.62050
     0    28    -0.4564877    -0.5037583     0.0580206     6.25900     0.07138
     0    29     0.4359957     0.1954584     0.0223028     6.30540     0.03534
     0    30     0.1694616    -0.0892055    -0.0128310     6.31730     0.00570
     0    31     0.0062986    -0.5189348    -0.0143227     6.34670     0.04191
     0    32    -0.9340054    -0.0823960     0.0762459     6.44690     0.13978
     0    33    -2.1269665    -0.2834557     0.1088531     6.46010     0.73060
     0    34     0.1848425     0.1443776     0.0961328     6.51770     0.01026
     0    35     0.8166436    -0.4105031     0.0519598     6.56960     0.13490
     0    36    -1.5842926     0.4300997     0.0242757     6.62580     0.43757
     0    37    -0.0934688    -0.0157839     0.0073146     6.64490     0.00147
     0    38    -0.3645659     0.2432762    -0.0782014     6.65740     0.03233
     0    39    -0.0370012    -0.8107604     0.1027524     6.70940     0.11001
     0    40     0.2042062     0.1306655     0.0796040     6.76140     0.01079
 
 Note: In below output the case of i=j corresponds to contribution of electron to dipole moment of excited state i (contribution of nuclear charges is not taken into account!)
 Transition electric dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -1.0002376    -2.3955673    -0.2448325     0.00000     0.00000
     1     2     4.6163595    -0.9441791    -0.2595949     1.31840     0.71931
     1     3     4.2553836     1.0999557     0.1692195     1.52900     0.72473
     1     4     1.7965745    -0.2038933    -0.1222115     1.73660     0.13973
     1     5     0.3244902     0.1288205    -0.0509446     1.77470     0.00541
     1     6    -0.0076319     0.0844555     0.0039544     1.90480     0.00034
     1     7    -0.2006051    -0.0092310     0.0320972     2.01080     0.00204
     1     8    -0.6576547     0.3242799     0.0013573     2.15700     0.02841
     1     9    -1.1773374     0.8825237     0.1205757     2.21830     0.11845
     1    10    -1.6795354     0.9776036     0.2254875     2.36100     0.22139
     1    11    -0.4842273     0.3574860     0.0618895     2.46490     0.02211
     1    12     0.2371258    -0.0061278     0.0041560     2.55550     0.00352
     1    13     0.1480023    -0.2113775    -0.0711810     2.60890     0.00458
     1    14     0.1466287    -0.0713338    -0.0684538     2.83520     0.00217
     1    15     1.3651003    -0.1592151    -0.0488066     2.85920     0.13248
     1    16    -0.1236561     0.0427786    -0.0717936     2.94710     0.00161
